n_agents,cost,candidate_count,accepted_count,best_worst_case_regret,best_expected_welfare
3,1,16,4,3,1.037037037037037
3,2,16,4,2,0.7407407407407407
3,3,16,4,1,0.4444444444444444
3,4,16,1,1,0.07407407407407407
3,5,16,1,0,0.037037037037037035
3,6,16,1,0,0.0
4,1,32,5,5,0.9876543209876543
4,2,32,5,4,0.7901234567901234
4,3,32,5,3,0.5925925925925926
4,4,32,5,2,0.3950617283950617
4,5,32,1,2,0.037037037037037035
4,6,32,1,1,0.024691358024691357
4,7,32,1,0,0.012345679012345678
4,8,32,1,0,0.0
5,1,64,6,7,0.8559670781893004
5,2,64,6,6,0.7242798353909465
5,3,64,6,5,0.5925925925925926
5,4,64,6,4,0.4609053497942387
5,5,64,6,3,0.3292181069958848
5,6,64,1,3,0.01646090534979424
5,7,64,1,2,0.012345679012345678
5,8,64,1,1,0.00823045267489712
5,9,64,1,0,0.00411522633744856
5,10,64,1,0,0.0
